Site,URLS,URL,Country,OpenAI,Google AI,Common Crawl,OAI-SearchBot,ChatGPT-User,GPTBot,PerplexityBot
"Newnan Times-Herald, The",https://www.times-herald.com,https://www.times-herald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Newport Daily News, The",https://www.newportri.com,https://www.newportri.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
News 4,https://www.kvoa.com,https://www.kvoa.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Nikkei,asia.nikkei.com,asia.nikkei.com,🇯🇵,🙅,🙅,🙅,🙅,🙅,🙅,🙅
North Texas Daily,https://www.ntdaily.com,https://www.ntdaily.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
northjersey.com,https://www.northjersey.com,https://www.northjersey.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Northwest Florida Daily News,https://www.nwfdailynews.com,https://www.nwfdailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Norwich Bulletin, The",https://www.norwichbulletin.com,https://www.norwichbulletin.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
NRK,http://www.nrk.no,http://www.nrk.no,🇳🇴,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ocala StarBanner,https://www.ocala.com,https://www.ocala.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Oklahoman,https://www.oklahoman.com,https://www.oklahoman.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Omaha World Herald,https://omaha.com,https://omaha.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Onion,https://theonion.com,https://theonion.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Opelousas Daily World,https://www.dailyworld.com,https://www.dailyworld.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Orange County Register,https://www.ocregister.com,https://www.ocregister.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Oregonian,https://www.oregonlive.com,https://www.oregonlive.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Oshkosh Northwestern,https://www.thenorthwestern.com,https://www.thenorthwestern.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ottumwa Courier,https://www.ottumwacourier.com,https://www.ottumwacourier.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Outlier Media,https://outliermedia.org,https://outliermedia.org,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Palm Beach Daily News,https://www.palmbeachdailynews.com,https://www.palmbeachdailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Palm Beach Post, The",https://www.palmbeachpost.com,https://www.palmbeachpost.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Palm Springs Desert Sun,desertsun.com,desertsun.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Panama City News-Herald,https://www.newsherald.com,https://www.newsherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Parsippany Daily Record,https://www.dailyrecord.com,https://www.dailyrecord.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Patriot Ledger, The",https://www.patriotledger.com,https://www.patriotledger.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Pekin Daily Times,https://www.pekintimes.com,https://www.pekintimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Pensacola News Journal,https://www.pnj.com,https://www.pnj.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Peoria Journal Star,https://www.pjstar.com,https://www.pjstar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Petoskey News-Review,https://www.petoskeynews.com,https://www.petoskeynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Philadelphia Tribune,https://www.phillytrib.com,https://www.phillytrib.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Pocono Record,https://www.poconorecord.com,https://www.poconorecord.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Port Clinton News Herald,https://www.portclintonnewsherald.com,https://www.portclintonnewsherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Post and Courier,https://www.postandcourier.com,https://www.postandcourier.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Post Register, The",https://www.postregister.com,https://www.postregister.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Poughkeepsie Journal,https://www.poughkeepsiejournal.com,https://www.poughkeepsiejournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Progress-Index, The",https://www.progress-index.com,https://www.progress-index.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Providence Journal, The",https://www.providencejournal.com,https://www.providencejournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Pueblo Chieftain, The",https://www.chieftain.com,https://www.chieftain.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Quad City Times,https://qctimes.com,https://qctimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Reckon,https://www.reckon.news,https://www.reckon.news,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Redding Record Searchlight,https://www.redding.com,https://www.redding.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Register Guard, The",https://www.registerguard.com,https://www.registerguard.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Reno Gazette-Journal,https://www.rgj.com,https://www.rgj.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Richmond Palladium-Item,https://www.pal-item.com,https://www.pal-item.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Richmond Times-Dispatch,https://richmond.com,https://richmond.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Riverside Press-Enterprise,pe.com,pe.com,🇺🇸,,,,🙅,🙅,🙅,🙅
Rochester Democrat and Chronicle,https://www.democratandchronicle.com,https://www.democratandchronicle.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Rolling Stone,https://www.rollingstone.com,https://www.rollingstone.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Rome News-Tribune,https://www.northwestgeorgianews.com,https://www.northwestgeorgianews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Salem Statesman Journal,https://www.statesmanjournal.com,https://www.statesmanjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Salina Journal,https://www.salina.com,https://www.salina.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Salinas Californian, The",https://www.thecalifornian.com,https://www.thecalifornian.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Salisbury Daily Times,https://www.delmarvanow.com,https://www.delmarvanow.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"San Angelo Standard-Times, The",https://www.gosanangelo.com,https://www.gosanangelo.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
San Diego Union Tribune,https://www.sandiegouniontribune.com,https://www.sandiegouniontribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Sankei Shimbun,https://www.sankei.com,https://www.sankei.com,🇯🇵,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Santa Cruz Sentinel,https://www.santacruzsentinel.com,https://www.santacruzsentinel.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Santa Fe New Mexican,https://www.santafenewmexican.com,https://www.santafenewmexican.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Sarasota Herald-Tribune,https://www.heraldtribune.com,https://www.heraldtribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Savannah Morning News,https://www.savannahnow.com,https://www.savannahnow.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Seacoastonline.com,https://www.seacoastonline.com,https://www.seacoastonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Seattle Times,https://www.seattletimes.com,https://www.seattletimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Sheboygan Press,https://www.sheboyganpress.com,https://www.sheboyganpress.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Shelby Star, The",https://www.shelbystar.com,https://www.shelbystar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Sherwood News,sherwoodgazette.com,sherwoodgazette.com,🇺🇸,,,,🙅,🙅,🙅,🙅
Shreveport Times,https://www.shreveporttimes.com,https://www.shreveporttimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Sioux Falls Argus Leader,https://www.argusleader.com,https://www.argusleader.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Siskiyou Daily News, The",https://www.siskiyoudaily.com,https://www.siskiyoudaily.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
SouthCoastToday.com,https://www.southcoasttoday.com,https://www.southcoasttoday.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Southwest Times Record,https://www.swtimes.com,https://www.swtimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Spartanburg Herald-Journal,https://www.goupstate.com,https://www.goupstate.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Spectrum, The",https://www.thespectrum.com,https://www.thespectrum.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Springfield News-Leader,https://www.news-leader.com,https://www.news-leader.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"St. Augustine Record, The",https://www.staugustine.com,https://www.staugustine.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
St. Cloud Times,https://www.sctimes.com,https://www.sctimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
St. Joseph News Press,https://www.newspressnow.com,https://www.newspressnow.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
St. Louis Post-Dispatch,https://www.stltoday.com,https://www.stltoday.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
STAT,https://www.statnews.com,https://www.statnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"State Journal, The",https://www.wvnews.com,https://www.wvnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"State Journal-Register, The",https://www.sj-r.com,https://www.sj-r.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Staunton Daily News Leader,https://www.newsleader.com,https://www.newsleader.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Stevens Point Journal,https://www.stevenspointjournal.com,https://www.stevenspointjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Stockton Record,https://www.recordnet.com,https://www.recordnet.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Stuff,https://stuff.co.nz,https://stuff.co.nz,🇳🇿,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Sturgis Journal,https://www.sturgisjournal.com,https://www.sturgisjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Tallahassee Democrat,https://www.tallahassee.com,https://www.tallahassee.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Taunton Daily Gazette,https://www.tauntongazette.com,https://www.tauntongazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Times Herald-Record,https://www.recordonline.com,https://www.recordonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Times Mail,https://www.reporter-times.com,https://www.reporter-times.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Times Record News,https://www.timesrecordnews.com,https://www.timesrecordnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Times Reporter,https://www.timesreporter.com,https://www.timesreporter.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Times Telegram, The",https://www.timestelegram.com,https://www.timestelegram.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Topeka Capital-Journal, The",https://www.cjonline.com,https://www.cjonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Toronto Star,https://www.thestar.com,https://www.thestar.com,🇨🇦,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Treasure Coast,https://www.tcpalm.com,https://www.tcpalm.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Tri-County Independent,https://www.tricountyindependent.com,https://www.tricountyindependent.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Tuscaloosa News,https://www.tuscaloosanews.com,https://www.tuscaloosanews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Twin Cities Pioneer Press,https://www.twincities.com,https://www.twincities.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Tyler Morning Telegraph,https://tylerpaper.com,https://tylerpaper.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Us Weekly,https://www.usmagazine.com,https://www.usmagazine.com,🇺🇸,🙅,🙅,,🙅,🙅,🙅,🙅
USA Today,https://www.usatoday.com,https://www.usatoday.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Utica Observer-Dispatch,https://www.uticaod.com,https://www.uticaod.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Variety,https://variety.com,https://variety.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ventura County Star,https://www.vcstar.com,https://www.vcstar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Victorville Daily Press,https://www.vvdailypress.com,https://www.vvdailypress.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Vineland Daily Journal,https://www.thedailyjournal.com,https://www.thedailyjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Visalia Times Delta,https://www.visaliatimesdelta.com,https://www.visaliatimesdelta.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Waterloo-Cedar Falls Courier,https://wcfcourier.com,https://wcfcourier.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Watertown Public Opinion,https://www.thepublicopinion.com,https://www.thepublicopinion.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Wausau Daily Herald,https://www.wausaudailyherald.com,https://www.wausaudailyherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Waynesboro Record Herald,https://www.therecordherald.com,https://www.therecordherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
WDRB News,https://www.wdrb.com,https://www.wdrb.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Weather Channel,https://weather.com,https://weather.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Westchester County Journal News, The",https://www.lohud.com,https://www.lohud.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Western Gazette,https://westerngazette.ca,https://westerngazette.ca,🇨🇦,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Wicked Local,https://www.wickedlocal.com,https://www.wickedlocal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Wilmington Star-News,https://www.starnewsonline.com,https://www.starnewsonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Wisconsin Rapids Daily Tribune,https://www.wisconsinrapidstribune.com,https://www.wisconsinrapidstribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Wisconsin State Journal,https://madison.com,https://madison.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Worcester Telegram & Gazette,https://www.telegram.com,https://www.telegram.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Wyoming Tribune Eagle,https://www.wyomingnews.com,https://www.wyomingnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
York Daily Record,https://www.ydr.com,https://www.ydr.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
York Dispatch,https://www.yorkdispatch.com,https://www.yorkdispatch.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Zanesville Times Recorder,https://www.zanesvilletimesrecorder.com,https://www.zanesvilletimesrecorder.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Conversation U.S.,https://theconversation.com,https://theconversation.com,🇺🇸,🙅,🙅,,🙅,,🙅,🙅
Daily Mirror,https://www.mirror.co.uk,https://www.mirror.co.uk,🇬🇧,🙅,,🙅,🙅,,🙅,🙅
Daily Record,https://www.dailyrecord.co.uk,https://www.dailyrecord.co.uk,🇬🇧,🙅,,🙅,🙅,,🙅,🙅
El Correo,https://www.elcorreo.com,https://www.elcorreo.com,🇪🇸,🙅,🙅,,,🙅,🙅,🙅
20 Minutes,https://www.20minutes.fr,https://www.20minutes.fr,🇫🇷,🙅,🙅,🙅,,🙅,🙅,🙅
41NBC / WMGT,https://www.41nbc.com,https://www.41nbc.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
ABC 33/40 News,https://abc3340.com/,https://abc3340.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Al Jazeera English,https://www.aljazeera.com,https://www.aljazeera.com,🇶🇦,🙅,,,,🙅,🙅,🙅
Andscape,https://andscape.com,https://andscape.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Arkansas Times,https://arktimes.com,https://arktimes.com,🇺🇸,,,,,🙅,🙅,🙅
Asahi Shimbun,asahi.com,asahi.com,🇯🇵,🙅,🙅,🙅,,🙅,🙅,🙅
Athletic,theathletic.com,theathletic.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Austin Vida,https://austinvida.com,https://austinvida.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Baltimore Banner,https://www.thebaltimorebanner.com,https://www.thebaltimorebanner.com,🇺🇸,🙅,🙅,,,🙅,🙅,🙅
Belleville News Democrat,https://www.bnd.com,https://www.bnd.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
BBC,https://www.bbc.com,https://www.bbc.com,🇬🇧,🙅,🙅,🙅,,🙅,🙅,🙅
Belfast Telegraph,https://www.belfasttelegraph.co.uk,https://www.belfasttelegraph.co.uk,🇬🇧,🙅,🙅,🙅,,🙅,🙅,🙅
Black by God,https://blackbygod.org,https://blackbygod.org,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Bellingham Herald,https://www.bellinghamherald.com,https://www.bellinghamherald.com,🇺🇸,,,🙅,,🙅,,🙅
"Berkeleyside, The",https://www.berkeleyside.org/,https://www.berkeleyside.org,🇺🇸,🙅,🙅,🙅,,🙅,,🙅
BFMTV,bfmtv.com,bfmtv.com,🇫🇷,🙅,,🙅,,🙅,🙅,
Bradenton Herald,https://www.bradenton.com,https://www.bradenton.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Buzzfeed News,https://www.buzzfeednews.com,https://www.buzzfeednews.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Centre Daily Times,https://www.centredaily.com,https://www.centredaily.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Charlotte Observer,https://www.charlotteobserver.com,https://www.charlotteobserver.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Chicago Reader,https://chicagoreader.com,https://chicagoreader.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
"City, The",https://www.thecity.nyc/,https://www.thecity.nyc,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Daily Yonder,dailyyonder.com,dailyyonder.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
CNN Brasil,cnnbrasil.com.br,cnnbrasil.com.br,🇧🇷,🙅,,,,🙅,🙅,
Crikey,https://www.crikey.com.au,https://www.crikey.com.au,🇦🇺,🙅,🙅,🙅,,🙅,🙅,🙅
Curbed,https://www.curbed.com,https://www.curbed.com,🇺🇸,,,🙅,,🙅,,🙅
"Cut, The",https://www.thecut.com,https://www.thecut.com,🇺🇸,,,🙅,,🙅,,🙅
Daily Sun,https://www.snl24.com,https://www.snl24.com,🇿🇦,🙅,🙅,🙅,,🙅,🙅,🙅
Discovery,https://www.discovery.com,https://www.discovery.com,🇺🇸,🙅,,,,🙅,🙅,
Deshsanchar,deshsanchar.com,deshsanchar.com,🇳🇵,🙅,🙅,🙅,,🙅,🙅,🙅
E!,eonline.com,eonline.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
El Nuevo Herald,https://www.elnuevoherald.com,https://www.elnuevoherald.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Eater,https://www.eater.com,https://www.eater.com,🇺🇸,,🙅,🙅,,🙅,,🙅
Economist,https://www.economist.com,https://www.economist.com,🇬🇧,🙅,🙅,🙅,,🙅,🙅,🙅
ESPN,https://www.espn.com,https://www.espn.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
El Periodico,https://www.elperiodico.com,https://www.elperiodico.com,🇪🇸,🙅,🙅,🙅,,🙅,🙅,🙅
FiveThirtyEight,https://fivethirtyeight.com,https://fivethirtyeight.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Florida Phoenix,https://floridaphoenix.com,https://floridaphoenix.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Forbes,https://www.forbes.com,https://www.forbes.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Fort Worth Report,https://fortworthreport.org,https://fortworthreport.org,🇺🇸,,,,,🙅,🙅,🙅
Fort Worth Star-Telegram,https://www.star-telegram.com,https://www.star-telegram.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Fortune,https://fortune.com,https://fortune.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Fox 31 WFXL-TV,fox31.com,fox31.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
"Fresno Bee, The",https://www.fresnobee.com,https://www.fresnobee.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
franceinfo,https://www.francetvinfo.fr,https://www.francetvinfo.fr,🇫🇷,🙅,,,,🙅,🙅,
Gizmodo,https://gizmodo.com,https://gizmodo.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Grand Forks Herald,https://www.grandforksherald.com,https://www.grandforksherald.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Harvey World Herald,https://harveyworld.org,https://harveyworld.org,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
"Herald, The",https://www.heraldonline.com,https://www.heraldonline.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
"Herald-Sun, The",https://www.heraldsun.com,https://www.heraldsun.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Honolulu Civil Beat,https://www.civilbeat.org,https://www.civilbeat.org,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Idaho Statesman,https://www.idahostatesman.com,https://www.idahostatesman.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
HuffPost Canada,huffpost.com,huffpost.com,🇨🇦,🙅,🙅,🙅,,🙅,🙅,🙅
"Island Packet, The",https://www.islandpacket.com,https://www.islandpacket.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Independent.ie,https://www.independent.ie,https://www.independent.ie,🇮🇪,🙅,🙅,🙅,,🙅,🙅,🙅
Irish Examiner,https://www.irishexaminer.com,https://www.irishexaminer.com,🇮🇪,🙅,,🙅,,🙅,🙅,
Irish Times,https://www.irishtimes.com,https://www.irishtimes.com,🇮🇪,🙅,,,,🙅,🙅,
Jezebel,https://www.jezebel.com,https://www.jezebel.com,🇺🇸,🙅,,,,🙅,🙅,
Kansas City Defender,https://kansascitydefender.com,https://kansascitydefender.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
Jiji,https://www.jiji.com,https://www.jiji.com,🇯🇵,🙅,🙅,🙅,,🙅,🙅,🙅
Journal.ie,thejournal.ie,thejournal.ie,🇮🇪,🙅,,,,🙅,🙅,
Kansas City Star,https://www.kansascity.com,https://www.kansascity.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
KATV News,katv.com,katv.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
KCCI,https://www.kcci.com,https://www.kcci.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
KETV NewsWatch 7,https://www.ketv.com,https://www.ketv.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
KPCC,https://www.kpcc.org,https://www.kpcc.org,🇺🇸,🙅,,🙅,,🙅,🙅,
KSNV News 3,news3lv.com,news3lv.com,🇺🇸,🙅,🙅,🙅,,🙅,🙅,
LAist,https://laist.com,https://laist.com,🇺🇸,🙅,,🙅,,🙅,🙅,
La Journal de Montréal,https://www.journaldemontreal.com,https://www.journaldemontreal.com,🇨🇦,🙅,,🙅,,🙅,🙅,
La Nueva España,https://www.lne.es,https://www.lne.es,🇪🇸,🙅,,🙅,,🙅,🙅,🙅
La Opinión A Coruña,https://www.laopinioncoruna.es,https://www.laopinioncoruna.es,🇪🇸,🙅,,🙅,,🙅,🙅,🙅
La Presse,https://www.lapresse.ca,https://www.lapresse.ca,🇨🇦,🙅,🙅,🙅,,🙅,🙅,🙅
La Stampa,https://www.lastampa.it,https://www.lastampa.it,🇮🇹,🙅,🙅,🙅,,🙅,🙅,
Las Vegas Review-Journal,https://www.reviewjournal.com,https://www.reviewjournal.com,🇺🇸,🙅,,,,🙅,🙅,
"Ledger-Enquirer, The",https://www.ledger-enquirer.com,https://www.ledger-enquirer.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Le Huffington Post,https://www.huffingtonpost.fr,https://www.huffingtonpost.fr,🇫🇷,🙅,🙅,🙅,,🙅,🙅,🙅
Le Parisien,https://www.leparisien.fr,https://www.leparisien.fr,🇫🇷,🙅,,🙅,,🙅,🙅,
Lexington Herald-Leader,https://www.kentucky.com,https://www.kentucky.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Maryland Matters,https://marylandmatters.org,https://marylandmatters.org,🇺🇸,🙅,🙅,🙅,,🙅,🙅,🙅
Libération,liberation.fr,liberation.fr,🇫🇷,🙅,,🙅,,🙅,🙅,
London Review of Books,lrb.co.uk,lrb.co.uk,🇬🇧,🙅,,,,🙅,🙅,
Maroela Media,https://maroelamedia.co.za,https://maroelamedia.co.za,🇿🇦,🙅,,🙅,,🙅,🙅,
McClatchy DC,https://www.mcclatchydc.com,https://www.mcclatchydc.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Mediaite,http://www.mediaite.com,http://www.mediaite.com,🇺🇸,🙅,,🙅,,🙅,🙅,
Mediapart,https://www.mediapart.fr,https://www.mediapart.fr,🇫🇷,🙅,🙅,🙅,,🙅,🙅,
Merced Sun Star,https://www.mercedsunstar.com,https://www.mercedsunstar.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Miami Herald,https://www.miamiherald.com,https://www.miamiherald.com,🇺🇸,🙅,,🙅,,🙅,🙅,🙅
Michigan Daily,https://www.michigandaily.com,https://www.michigandaily.com,🇺🇸,,,,,🙅,🙅,🙅
